date,GlobInc,E_Grid,GlobHor,T_Amb,WindVel,GlobEff,FShdBm,TArray,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,EOutInv,GlobBak
1/1/2024 0:00,0,-206.92,0,4.1002,4.9,0,1,0,0,0,0,0,-5.92,0
1/1/2024 1:00,0,-206.92,0,3.8997,4.6001,0,1,0,0,0,0,0,-5.92,0
1/1/2024 2:00,0,-206.92,0,3.5001,4.5,0,1,0,0,0,0,0,-5.92,0
1/1/2024 3:00,0,-206.92,0,2.8001,3.9001,0,1,0,0,0,0,0,-5.92,0
1/1/2024 4:00,0,-206.92,0,1.9003,3,0,1,0,0,0,0,0,-5.92,0
1/1/2024 5:00,0,-206.92,0,2.1001,2.4999,0,1,0,0,0,0,0,-5.92,0
1/1/2024 6:00,0,-206.92,0,2.2999,2.6,0,1,0,0,0,0,0,-5.92,0
1/1/2024 7:00,14.484,1220.1,12,3.3003,2.8001,13.578,1,3.6461,0,0,0,0,1424.3,1.0261
1/1/2024 8:00,146.99,18165,107,5,2.7,141.18,1,8.4993,0,0,0,0,18451,12.426
1/1/2024 9:00,240.19,30592,210,5.3996,2,223.91,1,10.874,0,0,0,0,30993,36.113
1/1/2024 10:00,164.86,20848,180,7.0002,1.6,154.42,1,10.813,0,0,0,0,21155,25.538
1/1/2024 11:00,222.85,28266,224.99,9.7003,1.8,218.89,1,15.16,0,0,0,0,28642,21.655
1/1/2024 12:00,483.58,60945,479,9.9001,1.9,481.2,1,21.933,0,0,0,0,61818,39.99
1/1/2024 13:00,493.08,60763,440.99,10.4,1.6,482.57,1,22.42,0,0,0,0,61632,37.005
1/1/2024 14:00,582.38,69289,388,11.7,1.3999,565.71,1,25.772,0,0,0,0,70341,30.262
1/1/2024 15:00,613.3,71484,252,11.6,1.7001,597.82,1,26.565,0,0,0,0,72586,13.437
1/1/2024 16:00,185.62,20574,76.998,10.5,2,170.9,1,14.774,0,0,0,0,20879,1.9316
1/1/2024 17:00,0,-206.92,2.0053,9.9001,2.7,0,1,0,0,0,0,0,-5.92,0
1/1/2024 18:00,0,-206.92,0,9.3,3,0,1,0,0,0,0,0,-5.92,0
1/1/2024 19:00,0,-206.92,0,8.0998,2.6,0,1,0,0,0,0,0,-5.92,0
1/1/2024 20:00,0,-206.92,0,6.9003,2.6,0,1,0,0,0,0,0,-5.92,0
1/1/2024 21:00,0,-206.92,0,6.6998,2.8001,0,1,0,0,0,0,0,-5.92,0
1/1/2024 22:00,0,-206.92,0,6.6998,2.8001,0,1,0,0,0,0,0,-5.92,0
